% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-1.852700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.412533809e+01 +5.412533809e+01 -1.311446619e+02 -1.311446619e+02 +2.4779e+00 -4.5196e+00 +3.0047e+00 +3.2653e+00 +1.0555e+00 -2.2123e+00 -2.0000e+00 +3.8556e+00 -2.6601e+00 -4.7205e+00 -1.2952e+00 +1.0393e+00 -2.6788e+00 -4.4948e+00 +3.6797e+00 +2.0085e+00 +3.8610e-01 -1.9741e+00 -1.0435e+00 -1.6615e+00
11 +1.874574697e+01 +1.874574697e+01 -1.665242530e+02 -1.665242530e+02 -3.9058e+00 -1.1293e+00 -1.8784e+00 -2.8883e-01 +2.4366e+00 -2.2341e+00 -2.7436e-01 +1.1625e+00 +6.2978e-02 -2.9344e+00 +3.0824e+00 +1.3944e+00 +1.5489e-02 -1.5617e+00 +9.2980e-01 +7.6501e-01 +2.6542e+00 +5.9205e-01 -1.2253e+00 -4.2040e+00
112 +1.566934795e+01 +1.566934795e+01 -1.696006521e+02 -1.696006521e+02 +6.4060e-01 +4.4730e-02 -1.0710e+00 +2.1897e+00 +1.5692e+00 -2.0866e+00 +4.3746e-02 +0.0000e+00 +4.0785e-01 +2.9039e+00 +2.4029e+00 -3.9371e-01 +1.0593e+00 -1.1148e+00 -8.4423e-01 -8.2417e-01 -1.5307e+00 +1.7018e+00 -1.5961e+00 -3.9530e+00
213 +9.889408223e+00 +9.889408223e+00 -1.753805918e+02 -1.753805918e+02 +2.0133e+00 -3.1271e+00 -1.2714e+00 -1.4180e+00 -6.5296e-01 -5.9756e-01 +1.6467e+00 +2.2143e-01 +1.6008e+00 -4.1144e-01 +9.6839e-01 +5.6427e-01 +8.9923e-01 -2.4390e+00 -1.8802e+00 -1.7314e-01 +1.3807e+00 -2.6962e-01 +3.0607e-01 +6.8781e-01
4423 +5.667009972e+00 +5.667009972e+00 -1.796029900e+02 -1.796029900e+02 +1.6209e-01 -7.5886e-01 -1.0357e+00 -1.2755e-03 +2.5675e-01 -2.5935e-01 -1.6543e+00 +1.3367e+00 +2.6532e-01 -1.0036e+00 -2.1860e+00 +1.4064e-01 -7.0056e-01 -4.6499e-01 +6.7261e-01 +1.4634e+00 +4.8151e-01 +6.5007e-01 -8.2356e-01 +1.0246e+00
% function evaluation | noise-free fitness - Fopt (3.747000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.859116284e+01 +6.859116284e+01 +1.060611628e+02 +1.060611628e+02 -3.5031e-01 +3.9193e+00 -1.6947e+00 +5.1027e-01 +4.8014e+00 -3.7478e+00 +6.8124e-01 +3.4493e+00 +7.2919e-01 -1.8198e+00 -4.3291e+00 -4.8205e+00 +1.8165e+00 -3.2596e+00 +2.7312e+00 -1.0487e+00 +3.4729e+00 -2.5129e+00 -4.9349e+00 +4.4779e+00
2 +5.133586155e+01 +5.133586155e+01 +8.880586155e+01 +8.880586155e+01 +3.6733e+00 -2.3652e+00 +3.6503e+00 -3.0477e+00 -9.6760e-02 -2.9296e+00 +3.0356e-01 -4.5361e+00 +2.1177e+00 -1.0721e+00 +3.0336e+00 +3.4972e+00 +1.6639e+00 -4.3203e+00 +4.2940e+00 -1.2548e+00 -5.3338e-01 +5.9774e-01 +3.0680e+00 -3.7541e+00
8 +2.608240772e+01 +2.608240772e+01 +6.355240772e+01 +6.355240772e+01 +4.6887e+00 +1.0854e+00 -2.1033e+00 -8.4488e-01 +2.8092e+00 +2.9226e+00 +3.7599e-01 -1.2923e+00 -2.9085e+00 +2.3766e+00 +9.8159e-01 -8.7488e-01 -3.6979e+00 -2.6625e+00 -9.8305e-01 +8.5261e-01 -1.2243e+00 -4.2251e+00 -5.4531e-01 +2.7326e+00
38 +2.012419533e+01 +2.012419533e+01 +5.759419533e+01 +5.759419533e+01 +6.1624e-01 +1.3832e+00 +1.2173e+00 -3.7941e+00 +2.7741e+00 -2.5778e+00 +3.0101e+00 -4.5728e+00 -3.0614e+00 -1.0888e+00 +5.7867e-01 +1.2363e+00 +5.0853e-01 +1.4971e+00 +2.2992e+00 -2.4251e+00 -1.4856e-01 +2.7155e+00 +1.7484e+00 +2.6224e+00
160 +1.333118572e+01 +1.333118572e+01 +5.080118572e+01 +5.080118572e+01 +0.0000e+00 -2.0361e-01 +2.4472e-01 -2.0194e+00 +2.3873e+00 -2.3118e+00 +0.0000e+00 -8.0821e-01 +4.6875e-01 +2.3937e+00 +3.2970e+00 +6.2771e-01 +0.0000e+00 +8.4338e-01 +2.3293e+00 +0.0000e+00 +0.0000e+00 +2.2430e+00 +3.0028e-01 +1.3105e+00
1321 +9.889317085e+00 +9.889317085e+00 +4.735931709e+01 +4.735931709e+01 +1.4589e+00 -7.8894e-01 -1.0057e+00 -2.2845e+00 +1.8513e+00 -3.1486e+00 +1.1753e+00 +9.8052e-01 +1.8219e+00 +5.0000e+00 +3.3120e+00 -9.7002e-02 +4.3288e-02 +6.1556e-01 +1.4768e+00 +3.3448e-01 -4.2334e+00 +1.0113e+00 +1.5390e-01 +3.7004e-01
3315 +4.445917490e+00 +4.445917490e+00 +4.191591749e+01 +4.191591749e+01 +3.1335e+00 -2.7852e-01 +2.2549e+00 -1.1073e+00 +1.6201e+00 -5.3685e-01 -3.8497e-01 -7.3452e-02 +1.2592e+00 +2.3804e+00 +1.9564e+00 +4.8575e-01 -1.7981e-02 -1.1649e+00 -3.7087e-01 +0.0000e+00 -2.5000e+00 -1.8643e-01 -1.1064e+00 -1.3174e+00
4675 +3.979885304e+00 +3.979885304e+00 +4.144988530e+01 +4.144988530e+01 +3.1335e+00 -2.7921e-01 +2.2550e+00 -1.1073e+00 +1.6201e+00 -5.3685e-01 -3.8499e-01 -7.3277e-02 +1.2592e+00 +2.3815e+00 +1.9558e+00 +4.8577e-01 -1.7972e-02 -1.1647e+00 -3.7088e-01 +0.0000e+00 -2.5000e+00 -1.8635e-01 -1.1063e+00 -1.3174e+00
% function evaluation | noise-free fitness - Fopt (-3.944700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.230043815e+01 +5.230043815e+01 -3.421695618e+02 -3.421695618e+02 -4.9593e+00 +4.3340e+00 -1.7408e+00 -2.3065e+00 +1.8284e+00 -3.3084e+00 -4.2988e+00 -3.3723e-01 -3.0249e+00 -1.2349e+00 -2.2087e+00 +2.9367e+00 -1.7200e+00 -1.3547e+00 -1.5439e+00 -9.8041e-01 +4.7271e+00 +2.7027e-01 +9.0904e-01 +4.6216e+00
2 +2.158420209e+01 +2.158420209e+01 -3.728857979e+02 -3.728857979e+02 +1.6402e-01 +6.7561e-01 -3.2844e+00 -2.7921e+00 -4.4048e-01 +2.6914e+00 -2.5530e+00 +3.7208e+00 -1.4988e+00 -2.5710e-02 +6.9477e-01 +1.9818e+00 +2.2012e+00 -5.0746e-01 +2.6685e+00 +6.3144e-02 +2.5822e+00 +8.7337e-01 -2.3629e+00 -4.1476e+00
85 +1.505915597e+01 +1.505915597e+01 -3.794108440e+02 -3.794108440e+02 +3.7639e+00 +1.4716e+00 +0.0000e+00 -4.2329e-01 +2.6763e+00 +1.4620e+00 -1.4992e+00 +2.0342e+00 -4.6416e-01 -1.0923e+00 -2.6079e+00 +2.6739e+00 +2.2285e+00 -2.2672e+00 -1.7725e-01 +1.6692e+00 -4.4095e-01 -3.2176e+00 +1.6036e+00 +1.5325e+00
209 +9.532672743e+00 +9.532672743e+00 -3.849373273e+02 -3.849373273e+02 +1.9196e+00 +4.0852e+00 -2.7702e+00 +4.9872e-01 +0.0000e+00 +1.5470e+00 -1.3143e+00 -8.5808e-01 +8.3091e-01 +1.4905e+00 +0.0000e+00 +1.8365e+00 +1.3813e+00 -1.3766e+00 -4.0955e-01 -3.9978e-01 +6.6685e-01 +1.2793e+00 -6.3593e-01 -3.1245e+00
4088 +6.299878316e+00 +6.299878316e+00 -3.881701217e+02 -3.881701217e+02 -9.0616e-01 +1.0002e-01 +1.7252e+00 +1.1469e+00 +1.5109e+00 -3.2923e-01 -4.2869e-01 -1.9052e+00 +2.2450e-01 -6.6581e-02 -9.2661e-01 -3.9503e-01 +1.2429e-01 +2.2404e-01 -2.0556e-01 +3.2570e-01 -3.5171e-01 -1.1692e+00 -2.9376e-01 -2.0896e+00
% function evaluation | noise-free fitness - Fopt (-1.026200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.078071555e+01 +6.078071555e+01 -4.183928445e+01 -4.183928445e+01 +4.5254e+00 +1.4426e+00 +2.4143e+00 -2.1814e+00 +1.2055e+00 +2.1506e+00 +4.4369e+00 +4.2788e-01 +2.3382e+00 -4.7340e+00 +2.9895e+00 -1.8038e+00 -3.0284e+00 +1.9609e+00 -3.4082e+00 -4.2387e+00 +4.4870e+00 -4.6097e+00 +7.1179e-01 +3.8869e+00
13 +2.715359940e+01 +2.715359940e+01 -7.546640060e+01 -7.546640060e+01 -2.5813e+00 +8.6527e-01 -2.5335e+00 -3.8973e+00 +4.8587e+00 +3.2161e+00 -3.9696e+00 -3.8134e+00 -3.4614e-01 -3.8059e-01 +5.2592e-01 -1.5198e+00 +4.7162e+00 -2.5715e+00 -9.2267e-01 -5.3235e-01 -2.0720e+00 -3.3342e+00 +2.2636e+00 +2.4873e+00
26 +2.297333506e+01 +2.297333506e+01 -7.964666494e+01 -7.964666494e+01 -3.0237e+00 +3.5695e+00 -3.6723e+00 +1.5963e+00 -6.9963e-01 +1.3076e+00 +1.1403e-01 -9.2440e-01 +1.6424e+00 +8.5603e-01 +6.5713e-01 -9.1907e-01 +1.2401e+00 +1.2661e+00 +2.5926e+00 -3.6405e+00 +9.1588e-01 -3.6479e+00 -1.8297e+00 -6.9998e-01
148 +1.241303823e+01 +1.241303823e+01 -9.020696177e+01 -9.020696177e+01 -1.1545e+00 +1.0663e+00 -2.2061e+00 -1.0334e+00 +1.6247e-01 -6.1058e-01 -4.5250e+00 -1.0593e+00 +7.7968e-01 +0.0000e+00 -1.6992e+00 +2.1127e-01 +0.0000e+00 +1.6700e+00 +1.9002e+00 -1.2291e+00 +2.2435e-01 +2.7248e+00 +0.0000e+00 -1.5731e-02
859 +9.805532431e+00 +9.805532431e+00 -9.281446757e+01 -9.281446757e+01 -2.2976e+00 -3.0613e+00 +0.0000e+00 -3.8563e-01 +2.2148e-01 -1.6905e-01 -2.1056e+00 +0.0000e+00 -9.3980e-01 -8.5437e-02 +1.7891e+00 -3.2982e+00 +1.6571e+00 +2.5648e+00 +5.2142e-01 +2.0865e+00 -1.2745e+00 -2.2227e-01 +1.5388e+00 +9.3348e-01
3931 +6.153210355e+00 +6.153210355e+00 -9.646678965e+01 -9.646678965e+01 -9.3455e-01 -1.7068e+00 -1.6630e+00 +1.4899e+00 +0.0000e+00 +3.2412e-01 +5.0771e-01 +3.9181e-01 +3.7958e-01 -5.5678e-01 +2.2589e+00 -9.9826e-01 -6.1780e-01 +2.0737e-01 +9.0201e-01 +7.2540e-01 -1.2990e-01 -1.5027e-01 -9.6742e-01 -6.2601e-02
% function evaluation | noise-free fitness - Fopt (2.728300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.421732471e+01 +4.421732471e+01 +3.170473247e+02 +3.170473247e+02 +3.7933e+00 +2.8754e+00 +4.5056e+00 -3.9907e+00 -4.2122e+00 -2.9923e+00 +5.4603e-01 -3.6223e+00 -3.2331e+00 -3.8913e+00 +6.0860e-01 -8.9988e-01 -9.3735e-01 +3.8028e+00 -2.9782e-01 -3.1966e+00 +5.6867e-01 -2.0182e+00 +4.0477e+00 +1.9833e+00
4 +3.765029918e+01 +3.765029918e+01 +3.104802992e+02 +3.104802992e+02 +3.6195e+00 +3.3703e+00 -2.7641e-01 -3.4533e+00 +2.7904e-02 +1.1064e-01 -1.1370e+00 -5.6065e-01 -4.3570e+00 +4.1498e+00 -2.0454e+00 -1.1997e-01 -2.1863e+00 +1.2817e+00 +4.2275e+00 -7.9398e-01 +2.9019e+00 -7.5314e-01 -4.9284e+00 +4.3419e+00
44 +1.724945864e+01 +1.724945864e+01 +2.900794586e+02 +2.900794586e+02 +2.3967e+00 -1.6297e+00 -2.2019e+00 -2.3040e-01 -2.0864e+00 +1.4183e+00 -2.0638e+00 -4.8398e-01 +6.4295e-01 +1.9542e+00 -2.2987e+00 -1.1003e+00 -1.1119e+00 +4.8078e-01 +1.0745e+00 +2.2266e+00 +4.2975e+00 -3.7932e+00 +7.1607e-02 -6.5812e-01
124 +1.344400271e+01 +1.344400271e+01 +2.862740027e+02 +2.862740027e+02 +1.4157e+00 +0.0000e+00 -9.3201e-01 -2.3507e+00 -2.4055e+00 +7.7202e-01 -1.9268e+00 -5.0674e-01 +0.0000e+00 +3.9317e-01 -2.1812e+00 -1.4026e+00 -1.2991e+00 +2.9778e-01 +1.0321e+00 -7.4538e-02 +3.9313e+00 -1.9195e+00 -4.6091e-01 +0.0000e+00
852 +9.912659318e+00 +9.912659318e+00 +2.827426593e+02 +2.827426593e+02 -4.3846e-01 +2.1889e+00 +7.1153e-01 +8.8601e-01 +0.0000e+00 -7.0621e-01 -2.3369e+00 -1.2177e+00 +1.6746e+00 +1.2558e-02 +3.2806e+00 -3.0961e-01 -8.9316e-01 -1.4163e+00 -8.6359e-01 -1.5216e+00 +1.8418e+00 -1.5516e+00 -3.2360e+00 +7.7261e-02
2958 +4.535130144e+00 +4.535130144e+00 +2.773651301e+02 +2.773651301e+02 +3.7416e-01 +1.7717e+00 +1.1436e-02 +1.2964e-01 -1.2391e+00 -1.2336e+00 -1.7581e+00 -3.2415e-02 +4.2640e-01 +3.1311e+00 +8.5435e-01 -1.6411e+00 +2.4266e-01 +8.0082e-02 -6.8139e-01 +1.4770e-01 +2.6930e-01 -3.9820e-01 -1.4453e+00 -8.2884e-01
% function evaluation | noise-free fitness - Fopt (-3.400000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
